                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 3.4556,                 5.3402,                 4.1767,                      0,                      0,                      0,                      0,                  3.375,                 5.3206,                 4.1528,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 3.1407,                 5.5466,                 4.2312,                      0,                      0,                      0,                      0,                  3.375,                 5.3206,                 4.1528,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 3.0874,                 5.6813,                 4.3082,                      0,                      0,                      0,                      0,                  3.375,                 5.3206,                 4.1528,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 2.8529,                 5.5068,                 4.2677,                      0,                      0,                      0,                      0,                 3.3752,                 5.3208,                 4.1534,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 3.1228,                 5.9903,                 4.4793,                      0,                      0,                      0,                      0,                 3.3752,                 5.3208,                 4.1534,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                 3.2309,                 5.5221,                 4.2945,                      0,                      0,                      0,                      0,                 3.3752,                 5.3208,                 4.1534,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                 2.8221,                 5.5359,                 4.1889,                      0,                      0,                      0,                      0,                 3.3752,                 5.3199,                  4.154,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 2.8712,                 5.5541,                 4.1844,                      0,                      0,                      0,                      0,                 3.3752,                 5.3199,                  4.154,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 3.2083,                 5.4346,                 4.1828,                      0,                      0,                      0,                      0,                 3.3752,                 5.3199,                  4.154,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 3.1088,                 5.6762,                  4.257,                      0,                      0,                      0,                      0,                 3.3739,                 5.3196,                 4.1551,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 3.4343,                 5.5949,                 4.1948,                      0,                      0,                      0,                      0,                 3.3739,                 5.3196,                 4.1551,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 3.0809,                 5.5722,                 4.2466,                      0,                      0,                      0,                      0,                 3.3739,                 5.3196,                 4.1551,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.9908,                 5.3963,                  4.208,                      0,                      0,                      0,                      0,                 3.3738,                 5.3177,                 4.1556,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 3.6973,                 5.7411,                 4.1622,                      0,                      0,                      0,                      0,                 3.3738,                 5.3177,                 4.1556,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 3.3271,                 5.5818,                 4.1789,                      0,                      0,                      0,                      0,                 3.3738,                 5.3177,                 4.1556,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 2.9909,                 5.4527,                 4.2354,                      0,                      0,                      0,                      0,                 3.3735,                 5.3185,                 4.1562,             1.9802e-05,             1.9802e-05,             1.9802e-05
